trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,43,42,up,0.005,db,0.050201882667991006,1,0.0003251176476624096,121.84962689957638,121.84962689957638,122.15071059488082,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,44,43,down,0.005,db,0.05017299245739193,1,0.0003933410353056388,127.31891082871198,127.31891082871198,127.61976117588165,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,45,44,up,0.005,db,0.050201882667991006,0,0.000352588126588671,130.0782745641177,130.0782745641177,130.37937003248499,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,46,45,up,0.005,db,0.050201882667991006,1,0.00034775815220200457,132.5367538406599,132.5367538406599,132.83782998912966,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,47,46,up,0.005,db,0.050201882667991006,1,0.0003866998204102856,135.01243054270526,135.01243054270526,135.31323711823234,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,48,47,up,0.005,db,0.050230789513919724,0,0.0003495693927106913,137.35378837527833,137.35378837527833,137.65470241773437,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,49,48,up,0.005,db,0.050230789513919724,1,0.0003453431654634187,139.71187271085637,139.71187271085637,140.01287973031867,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,50,49,up,0.005,db,0.050230789513919724,1,0.0003942466555599822,142.17057688307887,142.17057688307887,142.4714036841233,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,51,50,up,0.005,db,0.0502597130047569,0,0.0003779454918912961,144.49517470470028,144.49517470470028,144.7960591635633,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,52,51,up,0.005,db,0.050288653150086876,0,0.00035530498735170113,146.9538471802157,146.9538471802157,147.25490038630778,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,53,52,up,0.005,db,0.05031760995949951,0,0.0003528900001583679,149.27839821146063,149.27839821146063,149.57970589682554,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,54,53,up,0.005,db,0.05034658344259017,0,0.00039998224974624463,151.62004523874748,151.62004523874748,151.92108455866264,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,55,54,up,0.005,db,0.05034658344259017,1,0.00034564503857836826,153.97838827982605,153.97838827982605,154.27910912330844,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,56,55,up,0.005,db,0.05034658344259017,1,0.00036617242949432693,156.31965464476025,156.31965464476025,156.6206658904498,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,57,56,up,0.005,db,0.05037557360895977,0,0.0003498712658256409,158.6781676405608,158.6781676405608,158.97885437234936,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,58,57,up,0.005,db,0.05040458046821474,0,0.000347456279087055,161.03613122678053,161.03613122678053,161.33744525148632,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,59,58,up,0.005,db,0.05040458046821474,1,0.00034896564602604485,163.3608953806429,163.3608953806429,163.66186194907004,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,60,59,up,0.005,db,0.05040458046821474,1,0.00035983308816867066,165.80291591588275,165.80291591588275,,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,61,60,up,0.005,db,0.05043360402996704,0,0.00038820918734927545,168.0606354978363,168.0606354978363,168.36150757989026,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
